"year","carrier","state","xi"
2009,"ATT","AL",-0.0307196706932744
2009,"ATT","AR",-0.159366019270632
2009,"ATT","AZ",0.161605507619946
2009,"ATT","CA",0.743617521410608
2009,"ATT","CO",0.344247402154873
2009,"ATT","CT",0.576845234860192
2009,"ATT","DC",1.11804283807663
2009,"ATT","DE",0.30029745014567
2009,"ATT","FL",0.162296884640082
2009,"ATT","GA",0.322394889225297
2009,"ATT","IA",-0.0468964519646927
2009,"ATT","ID",-0.111298275771824
2009,"ATT","IL",0.316028727853198
2009,"ATT","IN",-0.0469758297899807
2009,"ATT","KS",-0.0185164335422119
2009,"ATT","KY",-0.262604806588856
2009,"ATT","LA",0.0279939346643578
2009,"ATT","MA",0.424170496581105
2009,"ATT","MD",0.821303296763852
2009,"ATT","ME",-0.34628961999229
2009,"ATT","MI",0.0311940785057029
2009,"ATT","MN",0.216832447252906
2009,"ATT","MO",0.0181763091567523
2009,"ATT","MS",-0.0431470705842127
2009,"ATT","NC",0.142046275263083
2009,"ATT","NE",0.00183435547614205
2009,"ATT","NH",0.243056978372174
2009,"ATT","NJ",0.628880602731317
2009,"ATT","NM",0.141210413820258
2009,"ATT","NV",0.242908051971349
2009,"ATT","NY",0.421125565452193
2009,"ATT","OH",-0.017763400470002
2009,"ATT","OK",-0.136815221379832
2009,"ATT","OR",0.0761842392840167
2009,"ATT","PA",0.150738072920729
2009,"ATT","RI",0.218006327186633
2009,"ATT","SC",0.0769795798564037
2009,"ATT","SD",-0.25139746215742
2009,"ATT","TN",-0.0458377225118521
2009,"ATT","TX",0.482509868788545
2009,"ATT","UT",0.277800267877988
2009,"ATT","VA",0.45562549586258
2009,"ATT","VT",-0.0867790885967197
2009,"ATT","WA",0.336386275264943
2009,"ATT","WI",-0.0030104879825439
2009,"ATT","WV",-0.371595331635153
2009,"ATT","MT",-0.290504633038152
2009,"ATT","ND",-0.168743557991348
2009,"ATT","WY",-0.118886525847906
2009,"Sprint","AL",-0.822766670693274
2009,"Sprint","AR",-0.951413019270632
2009,"Sprint","AZ",-0.630441492380054
2009,"Sprint","CA",-0.0484294785893918
2009,"Sprint","CO",-0.447799597845127
2009,"Sprint","CT",-0.215201765139807
2009,"Sprint","DC",0.325995838076632
2009,"Sprint","DE",-0.49174954985433
2009,"Sprint","FL",-0.629750115359918
2009,"Sprint","GA",-0.469652110774703
2009,"Sprint","IA",-0.838943451964693
2009,"Sprint","ID",-0.903345275771824
2009,"Sprint","IL",-0.476018272146802
2009,"Sprint","IN",-0.839022829789981
2009,"Sprint","KS",-0.810563433542212
2009,"Sprint","KY",-1.05465180658886
2009,"Sprint","LA",-0.764053065335642
2009,"Sprint","MA",-0.367876503418895
2009,"Sprint","MD",0.0292562967638526
2009,"Sprint","ME",-1.13833661999229
2009,"Sprint","MI",-0.760852921494297
2009,"Sprint","MN",-0.575214552747094
2009,"Sprint","MO",-0.773870690843248
2009,"Sprint","MS",-0.835194070584213
2009,"Sprint","NC",-0.650000724736917
2009,"Sprint","NE",-0.790212644523858
2009,"Sprint","NH",-0.548990021627826
2009,"Sprint","NJ",-0.163166397268683
2009,"Sprint","NM",-0.650836586179742
2009,"Sprint","NV",-0.549138948028651
2009,"Sprint","NY",-0.370921434547806
2009,"Sprint","OH",-0.809810400470002
2009,"Sprint","OK",-0.928862221379832
2009,"Sprint","OR",-0.715862760715983
2009,"Sprint","PA",-0.641308927079271
2009,"Sprint","RI",-0.574040672813367
2009,"Sprint","SC",-0.715067420143596
2009,"Sprint","SD",-1.04344446215742
2009,"Sprint","TN",-0.837884722511852
2009,"Sprint","TX",-0.309537131211455
2009,"Sprint","UT",-0.514246732122012
2009,"Sprint","VA",-0.33642150413742
2009,"Sprint","VT",-0.87882608859672
2009,"Sprint","WA",-0.455660724735057
2009,"Sprint","WI",-0.795057487982544
2009,"Sprint","WV",-1.16364233163515
2009,"Sprint","MT",-1.08255163303815
2009,"Sprint","ND",-0.960790557991348
2009,"Sprint","WY",-0.910933525847906
2009,"TMobile","AL",-0.896692670693274
2009,"TMobile","AR",-1.02533901927063
2009,"TMobile","AZ",-0.704367492380054
2009,"TMobile","CA",-0.122355478589392
2009,"TMobile","CO",-0.521725597845127
2009,"TMobile","CT",-0.289127765139808
2009,"TMobile","DC",0.252069838076632
2009,"TMobile","DE",-0.56567554985433
2009,"TMobile","FL",-0.703676115359918
2009,"TMobile","GA",-0.543578110774703
2009,"TMobile","IA",-0.912869451964693
2009,"TMobile","ID",-0.977271275771824
2009,"TMobile","IL",-0.549944272146802
2009,"TMobile","IN",-0.912948829789981
2009,"TMobile","KS",-0.884489433542212
2009,"TMobile","KY",-1.12857780658886
2009,"TMobile","LA",-0.837979065335642
2009,"TMobile","MA",-0.441802503418895
2009,"TMobile","MD",-0.0446697032361475
2009,"TMobile","ME",-1.21226261999229
2009,"TMobile","MI",-0.834778921494297
2009,"TMobile","MN",-0.649140552747094
2009,"TMobile","MO",-0.847796690843248
2009,"TMobile","MS",-0.909120070584213
2009,"TMobile","NC",-0.723926724736917
2009,"TMobile","NE",-0.864138644523858
2009,"TMobile","NH",-0.622916021627826
2009,"TMobile","NJ",-0.237092397268683
2009,"TMobile","NM",-0.724762586179742
2009,"TMobile","NV",-0.623064948028651
2009,"TMobile","NY",-0.444847434547807
2009,"TMobile","OH",-0.883736400470002
2009,"TMobile","OK",-1.00278822137983
2009,"TMobile","OR",-0.789788760715983
2009,"TMobile","PA",-0.715234927079271
2009,"TMobile","RI",-0.647966672813367
2009,"TMobile","SC",-0.788993420143596
2009,"TMobile","SD",-1.11737046215742
2009,"TMobile","TN",-0.911810722511852
2009,"TMobile","TX",-0.383463131211455
2009,"TMobile","UT",-0.588172732122012
2009,"TMobile","VA",-0.41034750413742
2009,"TMobile","VT",-0.95275208859672
2009,"TMobile","WA",-0.529586724735057
2009,"TMobile","WI",-0.868983487982544
2009,"TMobile","WV",-1.23756833163515
2009,"TMobile","MT",-1.15647763303815
2009,"TMobile","ND",-1.03471655799135
2009,"TMobile","WY",-0.984859525847906
2009,"Verizon","AL",0.276032329306726
2009,"Verizon","AR",0.147385980729368
2009,"Verizon","AZ",0.468357507619946
2009,"Verizon","CA",1.05036952141061
2009,"Verizon","CO",0.650999402154873
2009,"Verizon","CT",0.883597234860192
2009,"Verizon","DC",1.42479483807663
2009,"Verizon","DE",0.60704945014567
2009,"Verizon","FL",0.469048884640082
2009,"Verizon","GA",0.629146889225297
2009,"Verizon","IA",0.259855548035307
2009,"Verizon","ID",0.195453724228176
2009,"Verizon","IL",0.622780727853198
2009,"Verizon","IN",0.259776170210019
2009,"Verizon","KS",0.288235566457788
2009,"Verizon","KY",0.0441471934111443
2009,"Verizon","LA",0.334745934664358
2009,"Verizon","MA",0.730922496581105
2009,"Verizon","MD",1.12805529676385
2009,"Verizon","ME",-0.0395376199922897
2009,"Verizon","MI",0.337946078505703
2009,"Verizon","MN",0.523584447252906
2009,"Verizon","MO",0.324928309156752
2009,"Verizon","MS",0.263604929415787
2009,"Verizon","NC",0.448798275263083
2009,"Verizon","NE",0.308586355476142
2009,"Verizon","NH",0.549808978372174
2009,"Verizon","NJ",0.935632602731317
2009,"Verizon","NM",0.447962413820258
2009,"Verizon","NV",0.549660051971349
2009,"Verizon","NY",0.727877565452194
2009,"Verizon","OH",0.288988599529998
2009,"Verizon","OK",0.169936778620168
2009,"Verizon","OR",0.382936239284017
2009,"Verizon","PA",0.457490072920729
2009,"Verizon","RI",0.524758327186633
2009,"Verizon","SC",0.383731579856404
2009,"Verizon","SD",0.0553545378425799
2009,"Verizon","TN",0.260914277488148
2009,"Verizon","TX",0.789261868788545
2009,"Verizon","UT",0.584552267877988
2009,"Verizon","VA",0.76237749586258
2009,"Verizon","VT",0.21997291140328
2009,"Verizon","WA",0.643138275264943
2009,"Verizon","WI",0.303741512017456
2009,"Verizon","WV",-0.0648433316351534
2009,"Verizon","MT",0.0162473669618479
2009,"Verizon","ND",0.138008442008652
2009,"Verizon","WY",0.187865474152094
2010,"ATT","AL",-0.108163670693274
2010,"ATT","AR",-0.236810019270632
2010,"ATT","AZ",0.0841615076199456
2010,"ATT","CA",0.666173521410608
2010,"ATT","CO",0.266803402154873
2010,"ATT","CT",0.499401234860192
2010,"ATT","DC",1.04059883807663
2010,"ATT","DE",0.22285345014567
2010,"ATT","FL",0.0848528846400817
2010,"ATT","GA",0.244950889225297
2010,"ATT","IA",-0.124340451964693
2010,"ATT","ID",-0.188742275771824
2010,"ATT","IL",0.238584727853198
2010,"ATT","IN",-0.124419829789981
2010,"ATT","KS",-0.0959604335422119
2010,"ATT","KY",-0.340048806588856
2010,"ATT","LA",-0.0494500653356422
2010,"ATT","MA",0.346726496581105
2010,"ATT","MD",0.743859296763853
2010,"ATT","ME",-0.42373361999229
2010,"ATT","MI",-0.0462499214942971
2010,"ATT","MN",0.139388447252906
2010,"ATT","MO",-0.0592676908432477
2010,"ATT","MS",-0.120591070584213
2010,"ATT","NC",0.0646022752630828
2010,"ATT","NE",-0.0756096445238579
2010,"ATT","NH",0.165612978372174
2010,"ATT","NJ",0.551436602731317
2010,"ATT","NM",0.0637664138202582
2010,"ATT","NV",0.165464051971349
2010,"ATT","NY",0.343681565452193
2010,"ATT","OH",-0.095207400470002
2010,"ATT","OK",-0.214259221379832
2010,"ATT","OR",-0.00125976071598326
2010,"ATT","PA",0.0732940729207286
2010,"ATT","RI",0.140562327186633
2010,"ATT","SC",-0.000464420143596281
2010,"ATT","SD",-0.32884146215742
2010,"ATT","TN",-0.123281722511852
2010,"ATT","TX",0.405065868788545
2010,"ATT","UT",0.200356267877988
2010,"ATT","VA",0.37818149586258
2010,"ATT","VT",-0.16422308859672
2010,"ATT","WA",0.258942275264943
2010,"ATT","WI",-0.0804544879825439
2010,"ATT","WV",-0.449039331635153
2010,"ATT","MT",-0.367948633038152
2010,"ATT","ND",-0.246187557991348
2010,"ATT","WY",-0.196330525847906
2010,"Sprint","AL",-0.900210670693274
2010,"Sprint","AR",-1.02885701927063
2010,"Sprint","AZ",-0.707885492380054
2010,"Sprint","CA",-0.125873478589392
2010,"Sprint","CO",-0.525243597845127
2010,"Sprint","CT",-0.292645765139807
2010,"Sprint","DC",0.248551838076632
2010,"Sprint","DE",-0.56919354985433
2010,"Sprint","FL",-0.707194115359918
2010,"Sprint","GA",-0.547096110774703
2010,"Sprint","IA",-0.916387451964693
2010,"Sprint","ID",-0.980789275771824
2010,"Sprint","IL",-0.553462272146802
2010,"Sprint","IN",-0.916466829789981
2010,"Sprint","KS",-0.888007433542212
2010,"Sprint","KY",-1.13209580658886
2010,"Sprint","LA",-0.841497065335642
2010,"Sprint","MA",-0.445320503418895
2010,"Sprint","MD",-0.0481877032361474
2010,"Sprint","ME",-1.21578061999229
2010,"Sprint","MI",-0.838296921494297
2010,"Sprint","MN",-0.652658552747094
2010,"Sprint","MO",-0.851314690843248
2010,"Sprint","MS",-0.912638070584213
2010,"Sprint","NC",-0.727444724736917
2010,"Sprint","NE",-0.867656644523858
2010,"Sprint","NH",-0.626434021627826
2010,"Sprint","NJ",-0.240610397268683
2010,"Sprint","NM",-0.728280586179742
2010,"Sprint","NV",-0.626582948028651
2010,"Sprint","NY",-0.448365434547806
2010,"Sprint","OH",-0.887254400470002
2010,"Sprint","OK",-1.00630622137983
2010,"Sprint","OR",-0.793306760715983
2010,"Sprint","PA",-0.718752927079271
2010,"Sprint","RI",-0.651484672813367
2010,"Sprint","SC",-0.792511420143596
2010,"Sprint","SD",-1.12088846215742
2010,"Sprint","TN",-0.915328722511852
2010,"Sprint","TX",-0.386981131211455
2010,"Sprint","UT",-0.591690732122012
2010,"Sprint","VA",-0.41386550413742
2010,"Sprint","VT",-0.95627008859672
2010,"Sprint","WA",-0.533104724735057
2010,"Sprint","WI",-0.872501487982544
2010,"Sprint","WV",-1.24108633163515
2010,"Sprint","MT",-1.15999563303815
2010,"Sprint","ND",-1.03823455799135
2010,"Sprint","WY",-0.988377525847906
2010,"TMobile","AL",-0.974136670693274
2010,"TMobile","AR",-1.10278301927063
2010,"TMobile","AZ",-0.781811492380054
2010,"TMobile","CA",-0.199799478589392
2010,"TMobile","CO",-0.599169597845127
2010,"TMobile","CT",-0.366571765139807
2010,"TMobile","DC",0.174625838076632
2010,"TMobile","DE",-0.64311954985433
2010,"TMobile","FL",-0.781120115359918
2010,"TMobile","GA",-0.621022110774703
2010,"TMobile","IA",-0.990313451964693
2010,"TMobile","ID",-1.05471527577182
2010,"TMobile","IL",-0.627388272146802
2010,"TMobile","IN",-0.990392829789981
2010,"TMobile","KS",-0.961933433542212
2010,"TMobile","KY",-1.20602180658886
2010,"TMobile","LA",-0.915423065335642
2010,"TMobile","MA",-0.519246503418895
2010,"TMobile","MD",-0.122113703236147
2010,"TMobile","ME",-1.28970661999229
2010,"TMobile","MI",-0.912222921494297
2010,"TMobile","MN",-0.726584552747094
2010,"TMobile","MO",-0.925240690843248
2010,"TMobile","MS",-0.986564070584213
2010,"TMobile","NC",-0.801370724736917
2010,"TMobile","NE",-0.941582644523858
2010,"TMobile","NH",-0.700360021627826
2010,"TMobile","NJ",-0.314536397268683
2010,"TMobile","NM",-0.802206586179742
2010,"TMobile","NV",-0.700508948028651
2010,"TMobile","NY",-0.522291434547806
2010,"TMobile","OH",-0.961180400470002
2010,"TMobile","OK",-1.08023222137983
2010,"TMobile","OR",-0.867232760715983
2010,"TMobile","PA",-0.792678927079271
2010,"TMobile","RI",-0.725410672813367
2010,"TMobile","SC",-0.866437420143596
2010,"TMobile","SD",-1.19481446215742
2010,"TMobile","TN",-0.989254722511852
2010,"TMobile","TX",-0.460907131211455
2010,"TMobile","UT",-0.665616732122012
2010,"TMobile","VA",-0.48779150413742
2010,"TMobile","VT",-1.03019608859672
2010,"TMobile","WA",-0.607030724735057
2010,"TMobile","WI",-0.946427487982544
2010,"TMobile","WV",-1.31501233163515
2010,"TMobile","MT",-1.23392163303815
2010,"TMobile","ND",-1.11216055799135
2010,"TMobile","WY",-1.06230352584791
2010,"Verizon","AL",0.198588329306726
2010,"Verizon","AR",0.0699419807293676
2010,"Verizon","AZ",0.390913507619946
2010,"Verizon","CA",0.972925521410608
2010,"Verizon","CO",0.573555402154873
2010,"Verizon","CT",0.806153234860193
2010,"Verizon","DC",1.34735083807663
2010,"Verizon","DE",0.52960545014567
2010,"Verizon","FL",0.391604884640082
2010,"Verizon","GA",0.551702889225297
2010,"Verizon","IA",0.182411548035307
2010,"Verizon","ID",0.118009724228176
2010,"Verizon","IL",0.545336727853198
2010,"Verizon","IN",0.182332170210019
2010,"Verizon","KS",0.210791566457788
2010,"Verizon","KY",-0.0332968065888557
2010,"Verizon","LA",0.257301934664358
2010,"Verizon","MA",0.653478496581105
2010,"Verizon","MD",1.05061129676385
2010,"Verizon","ME",-0.11698161999229
2010,"Verizon","MI",0.260502078505703
2010,"Verizon","MN",0.446140447252906
2010,"Verizon","MO",0.247484309156752
2010,"Verizon","MS",0.186160929415787
2010,"Verizon","NC",0.371354275263083
2010,"Verizon","NE",0.231142355476142
2010,"Verizon","NH",0.472364978372174
2010,"Verizon","NJ",0.858188602731317
2010,"Verizon","NM",0.370518413820258
2010,"Verizon","NV",0.472216051971349
2010,"Verizon","NY",0.650433565452194
2010,"Verizon","OH",0.211544599529998
2010,"Verizon","OK",0.0924927786201678
2010,"Verizon","OR",0.305492239284017
2010,"Verizon","PA",0.380046072920729
2010,"Verizon","RI",0.447314327186633
2010,"Verizon","SC",0.306287579856404
2010,"Verizon","SD",-0.0220894621574201
2010,"Verizon","TN",0.183470277488148
2010,"Verizon","TX",0.711817868788545
2010,"Verizon","UT",0.507108267877988
2010,"Verizon","VA",0.68493349586258
2010,"Verizon","VT",0.14252891140328
2010,"Verizon","WA",0.565694275264943
2010,"Verizon","WI",0.226297512017456
2010,"Verizon","WV",-0.142287331635153
2010,"Verizon","MT",-0.0611966330381521
2010,"Verizon","ND",0.0605644420086518
2010,"Verizon","WY",0.110421474152094
2011,"ATT","AL",-0.157723670693274
2011,"ATT","AR",-0.286370019270632
2011,"ATT","AZ",0.0346015076199456
2011,"ATT","CA",0.616613521410608
2011,"ATT","CO",0.217243402154873
2011,"ATT","CT",0.449841234860192
2011,"ATT","DC",0.991038838076632
2011,"ATT","DE",0.17329345014567
2011,"ATT","FL",0.0352928846400817
2011,"ATT","GA",0.195390889225297
2011,"ATT","IA",-0.173900451964693
2011,"ATT","ID",-0.238302275771824
2011,"ATT","IL",0.189024727853198
2011,"ATT","IN",-0.173979829789981
2011,"ATT","KS",-0.145520433542212
2011,"ATT","KY",-0.389608806588856
2011,"ATT","LA",-0.0990100653356422
2011,"ATT","MA",0.297166496581105
2011,"ATT","MD",0.694299296763852
2011,"ATT","ME",-0.47329361999229
2011,"ATT","MI",-0.0958099214942971
2011,"ATT","MN",0.0898284472529064
2011,"ATT","MO",-0.108827690843248
2011,"ATT","MS",-0.170151070584213
2011,"ATT","NC",0.0150422752630828
2011,"ATT","NE",-0.125169644523858
2011,"ATT","NH",0.116052978372174
2011,"ATT","NJ",0.501876602731317
2011,"ATT","NM",0.0142064138202582
2011,"ATT","NV",0.115904051971349
2011,"ATT","NY",0.294121565452193
2011,"ATT","OH",-0.144767400470002
2011,"ATT","OK",-0.263819221379832
2011,"ATT","OR",-0.0508197607159833
2011,"ATT","PA",0.0237340729207286
2011,"ATT","RI",0.0910023271866328
2011,"ATT","SC",-0.0500244201435963
2011,"ATT","SD",-0.37840146215742
2011,"ATT","TN",-0.172841722511852
2011,"ATT","TX",0.355505868788545
2011,"ATT","UT",0.150796267877988
2011,"ATT","VA",0.32862149586258
2011,"ATT","VT",-0.21378308859672
2011,"ATT","WA",0.209382275264943
2011,"ATT","WI",-0.130014487982544
2011,"ATT","WV",-0.498599331635153
2011,"ATT","MT",-0.417508633038152
2011,"ATT","ND",-0.295747557991348
2011,"ATT","WY",-0.245890525847906
2011,"Sprint","AL",-0.949770670693274
2011,"Sprint","AR",-1.07841701927063
2011,"Sprint","AZ",-0.757445492380054
2011,"Sprint","CA",-0.175433478589392
2011,"Sprint","CO",-0.574803597845127
2011,"Sprint","CT",-0.342205765139807
2011,"Sprint","DC",0.198991838076632
2011,"Sprint","DE",-0.61875354985433
2011,"Sprint","FL",-0.756754115359918
2011,"Sprint","GA",-0.596656110774703
2011,"Sprint","IA",-0.965947451964693
2011,"Sprint","ID",-1.03034927577182
2011,"Sprint","IL",-0.603022272146802
2011,"Sprint","IN",-0.966026829789981
2011,"Sprint","KS",-0.937567433542212
2011,"Sprint","KY",-1.18165580658886
2011,"Sprint","LA",-0.891057065335642
2011,"Sprint","MA",-0.494880503418895
2011,"Sprint","MD",-0.0977477032361475
2011,"Sprint","ME",-1.26534061999229
2011,"Sprint","MI",-0.887856921494297
2011,"Sprint","MN",-0.702218552747094
2011,"Sprint","MO",-0.900874690843248
2011,"Sprint","MS",-0.962198070584213
2011,"Sprint","NC",-0.777004724736917
2011,"Sprint","NE",-0.917216644523858
2011,"Sprint","NH",-0.675994021627826
2011,"Sprint","NJ",-0.290170397268683
2011,"Sprint","NM",-0.777840586179742
2011,"Sprint","NV",-0.676142948028651
2011,"Sprint","NY",-0.497925434547806
2011,"Sprint","OH",-0.936814400470002
2011,"Sprint","OK",-1.05586622137983
2011,"Sprint","OR",-0.842866760715983
2011,"Sprint","PA",-0.768312927079271
2011,"Sprint","RI",-0.701044672813367
2011,"Sprint","SC",-0.842071420143596
2011,"Sprint","SD",-1.17044846215742
2011,"Sprint","TN",-0.964888722511852
2011,"Sprint","TX",-0.436541131211455
2011,"Sprint","UT",-0.641250732122012
2011,"Sprint","VA",-0.46342550413742
2011,"Sprint","VT",-1.00583008859672
2011,"Sprint","WA",-0.582664724735057
2011,"Sprint","WI",-0.922061487982544
2011,"Sprint","WV",-1.29064633163515
2011,"Sprint","MT",-1.20955563303815
2011,"Sprint","ND",-1.08779455799135
2011,"Sprint","WY",-1.03793752584791
2011,"TMobile","AL",-1.02369667069327
2011,"TMobile","AR",-1.15234301927063
2011,"TMobile","AZ",-0.831371492380054
2011,"TMobile","CA",-0.249359478589392
2011,"TMobile","CO",-0.648729597845127
2011,"TMobile","CT",-0.416131765139808
2011,"TMobile","DC",0.125065838076632
2011,"TMobile","DE",-0.69267954985433
2011,"TMobile","FL",-0.830680115359918
2011,"TMobile","GA",-0.670582110774703
2011,"TMobile","IA",-1.03987345196469
2011,"TMobile","ID",-1.10427527577182
2011,"TMobile","IL",-0.676948272146802
2011,"TMobile","IN",-1.03995282978998
2011,"TMobile","KS",-1.01149343354221
2011,"TMobile","KY",-1.25558180658886
2011,"TMobile","LA",-0.964983065335642
2011,"TMobile","MA",-0.568806503418895
2011,"TMobile","MD",-0.171673703236148
2011,"TMobile","ME",-1.33926661999229
2011,"TMobile","MI",-0.961782921494297
2011,"TMobile","MN",-0.776144552747094
2011,"TMobile","MO",-0.974800690843248
2011,"TMobile","MS",-1.03612407058421
2011,"TMobile","NC",-0.850930724736917
2011,"TMobile","NE",-0.991142644523858
2011,"TMobile","NH",-0.749920021627826
2011,"TMobile","NJ",-0.364096397268683
2011,"TMobile","NM",-0.851766586179742
2011,"TMobile","NV",-0.750068948028651
2011,"TMobile","NY",-0.571851434547807
2011,"TMobile","OH",-1.01074040047
2011,"TMobile","OK",-1.12979222137983
